case_id,adjudicated_ground_truth,v2_reason_code,routed_answer_path,decomposition_fallback,subquestion_count,context_count,context_sha256,estimated_context_tokens,provider,model,temperature,input_tokens,output_tokens,total_tokens,provider_latency_ms,deliberate_pacing_s,retry_count,physical_requests,provider_status,nvidia20b_gen_tokens_out,nvidia20b_gen_node,nvidia20b_gen_node_ms,question,expected_answer,groq120b_answer,nvidia20b_answer
case-002,simple,multiple_independent_retrieval_needs,compound,False,2,5,5cc13a51db22ab2cbbada60c90a4f4fdb0540e26d2eb42733abbc014727bc4aa,2425,groq,openai/gpt-oss-120b,0.0,2085,647,2732,1891.0,0.0,0,1,ok,368,final_answer_ms,4973.1,Does Pip-6 actually pollinate the flowers? What does it really do?,No. It identifies blossoms unvisited by orchard moths for more than two days and flags them for attention.,"**1. Does Pip‑6 actually pollinate the flowers?**  
No. All of the posts that describe Pip‑6 explicitly state that it does **not** pollinate the flowers. The *Copper Orchard’s Smallest Robot* article notes “Pip‑6 does not pollinate flowers,” and this point is reiterated in later notes from the same source and in the *Pip‑6 Passes Ninety Percent* report, which again restates that “pip‑6 still did not pollinate flowers.” These consistent statements make it clear that pollination is not part of Pip‑6’s role.

**2. What does Pip‑6 really do?**  
Pip‑6 is a small (32 cm tall) autonomous rover that *monitors* the orchard rather than pollinating it. Its main functions, as described in the evidence, are:

* **Navigation and sensing** – It follows magnetic markers placed near irrigation channels and operates in the early morning (04:30 – 07:00) using a camera equipped with a green marker light. (*Copper Orchard’s Smallest Robot*)
* **Identifying unvisited blossoms** – The rover scans blossoms and flags those that have not been visited by orchard moths for more than two days. In its first trial it flagged 47 blossoms, with 39 of those flags confirmed as correct. (*Copper Orchard’s Smallest Robot*)
* **Flagging accuracy** – Across five surveys, 91 % of the flags it generated were confirmed, demonstrating reliable detection performance. (*Pip‑6 Passes Ninety Percent*)
* **Learning from visual interference** – When blue maintenance ribbons distorted the camera’s contrast, the system was retrained with additional images (160 ribbon‑affected photos) and the hardware continued to function correctly. (*Pip‑6 Learns the Blue Ribbon Problem*)

In short, Pip‑6 serves as a **survey and flagging robot** that locates blossoms that have been missed by natural pollinators, providing data for orchard managers rather than performing pollination itself.","**1. Does Pip‑6 actually pollinate the flowers?**  
No. Both the *Copper Orchard’s Smallest Robot* and the *Pip‑6 Passes Ninety Percent* posts explicitly state that Pip‑6 does not pollinate flowers.

**2. What does Pip‑6 really do?**  
Pip‑6 is a 32‑centimeter‑tall rover that follows magnetic markers along irrigation channels. Its primary role is to survey blossoms: it identifies flowers that have not been visited by orchard moths for more than two days and flags them for later review. The rover’s camera uses a green‑marker light to detect blossoms, and it records and flags these blossoms (e.g., 47 blossoms flagged in the first trial). Pip‑6’s function is therefore to detect, flag, and log unvisited blossoms rather than to perform pollination."
case-003,simple,multiple_independent_retrieval_needs,compound,False,2,5,5bf0af7a08b52d218dbe67c56f82496a1ea3d8fcc3de7ea1c68537ce22ce0a6e,1978,groq,openai/gpt-oss-120b,0.0,1783,243,2026,1047.8,0.0,0,1,ok,229,final_answer_ms,3741.0,"What are the current Quiet Bloom hours, and were they always the same?",Current 04:30–06:30; originally 04:30–07:00; shortened because surveys usually finished by 06:20.,"**1. Current Quiet Bloom hours**  
The most recent information states that Quiet Bloom now runs from **04:30 to 06:30** (a.m.)【Quiet Bloom Gets Shorter】.

**2. Were the hours always the same?**  
No. The same source explains that Quiet Bloom was originally scheduled from **04:30 to 07:00**, but it was later **shortened** to the current 04:30‑06:30 window【Quiet Bloom Gets Shorter】. This shows the hours have changed and were not always as they are now.","1. The current Quiet Bloom hours are **04:30 – 06:30** (see *Quiet Bloom Gets Shorter*).  
2. No – the hours were not always the same. The post notes that Quiet Bloom was shortened from the earlier 04:30 – 07:00 window to the current 04:30 – 06:30 schedule, indicating a change in the timing."
case-004,simple,multiple_independent_retrieval_needs,compound,False,2,5,3407714b661f787f01760df24a062b80e7578d4aa433e56d6301d1392e18e549,1670,groq,openai/gpt-oss-120b,0.0,1657,519,2176,1579.0,51.0,0,1,ok,471,final_answer_ms,9691.4,Why wasn't QL-2D approved for passenger service on the Lantern Loop? Was charging wait time the problem?,"No. QL-2D uses 12-minute stabilization, which fits the cycle. Actual blocker: enclosure 11 cm taller and blocks manual brake-release lever. LumenPack 8 remains active.","**1. Why wasn’t QL‑2D approved for passenger service on the Lantern Loop?**  
The test report notes that the QL‑2D’s enclosure was eleven centimetres taller than the reference pack, and that extra height “blocked access to a manual brake‑release lever.” Because the brake‑release could not be reached, the pack was deemed unsuitable for passenger service and therefore was not approved (Lantern Loop Tests QL‑2D).

**2. Was charging‑wait time the problem?**  
The available posts do not mention any charging‑wait‑time issue for QL‑2D. The only charging‑time concern described in the evidence relates to QL‑2C, whose “Forty‑Minute Rule conflicted with rapid cart charging” (Quill Cells in the Lantern Cart). Since no source links charging‑wait time to the QL‑2D decision, we cannot say that it was the problem for that pack.","**1. Why wasn’t QL‑2D approved for passenger service on the Lantern Loop?**  
The Lantern Loop Tests QL‑2D report notes that the Quill enclosure of the QL‑2D pack was eleven centimeters taller than the reference LumenPack 8. This increased height “blocked access to a manual brake‑release lever.” Because that lever could no longer be reached, the pack was deemed unsafe for passenger service and was therefore not approved, with the LumenPack 8 remaining the active fleet battery.

**2. Was charging wait time the problem?**  
Charging wait time was not cited as an issue for the QL‑2D pack. The only problem mentioned in the Lantern Loop Tests QL‑2D post was the obstruction of the manual brake‑release lever. (Charging wait‑time concerns appear in a separate report about QL‑2C, not QL‑2D.)"
case-005,ambiguous,multiple_independent_retrieval_needs,compound,False,2,5,0cb19f3cc26ab79ec96b415219211c085a563fc7790bad127396d0f686847928,2037,groq,openai/gpt-oss-120b,0.0,1803,742,2545,1744.5,0.0,0,1,ok,816,final_answer_ms,5679.4,"Why was the Hollow Stair still considered unverified after Zone South was surveyed, and what evidence supported each candidate?",Zone North had rain-visible mineral markings and lantern evidence. Zone South had 11 shallow steps but no lantern brackets/mineral lines. Neither was conclusive.,"**1. Why the Hollow Stair remained “unverified” after the Zone South survey**

The team’s field notes made clear that, even after Zone South was examined, the overall status of the Hollow Stair could not be confirmed. In *Zone South Changes the Picture* the authors recorded that Zone South contained a narrow carved path with eleven shallow stone steps but **no lantern brackets** and **no dark mineral lines** after rain, while Zone North matched the lantern‑bracket clues. Because neither location satisfied all of the diagnostic features and because Zone South was re‑interpreted as a separate “Hollow Steps” route, the report explicitly states that “the official Hollow Stair status remained **unverified**.” Thus the lack of a complete set of indicators at either site kept the feature unverified despite the survey of Zone South.  

**2. Evidence that supported each candidate**

- **Zone North (the probable Hollow Stair)** – *The Hollow Stair Status Finally Changes* describes three rusted lantern brackets that became visible after heavy rain. The **third bracket** was found beside the west rock face, marked by **mineral lines**, and behind it a stone cavity held a **corroded metal box stamped T41**. These lantern‑bracket and mineral‑line clues gave Zone North high confidence as the likely Hollow Stair, leading the authors to label it “probable.”  

- **Zone South (the “Hollow Steps” candidate)** – *Zone South Changes the Picture* reports that Zone South is located southwest of Lake Tressa and features a **narrow carved path with eleven shallow stone steps**. Unlike Zone North, the site **lacked any lantern brackets** and **showed no dark mineral lines after rain**. The presence of actual stone steps was the primary evidence supporting Zone South as a possible “Hollow Steps” route, even though it did not meet the full lantern‑bracket criteria.  

Together, the lantern‑bracket/mineral‑line evidence favored Zone North, while the physical stone‑step morphology favored Zone South, leaving the overall Hollow Stair identification unverified.","**1. Why the Hollow Stair remained unverified after Zone South was surveyed**

The survey of Zone South showed a narrow carved path with eleven shallow stone steps, but it contained **no lantern brackets and no dark mineral lines** after the rain. Because the defining features of a Hollow Stair—lantern brackets and mineral‑lined rock faces—were absent, the team could not confirm that Zone South was the Hollow Stair. The post *Zone South Changes the Picture* explicitly states that the official Hollow Stair status remained **unverified** because neither site had been confirmed. (See *Zone South Changes the Picture*.)

**2. Evidence that supported each candidate**

| Candidate | Supporting evidence found in the field |
|------------|----------------------------------------|
| **Zone North** | • A third rusted lantern bracket became visible after heavy rain. <br>• The bracket stood beside the west rock face with mineral lines. <br>• Behind the bracket was a stone cavity containing a corroded metal box stamped “T41.” <br>These observations led the team to mark Zone North as the **probable** Hollow Stair with high confidence. (See *The Hollow Stair Status Finally Changes*.) |
| **Zone South** | • A narrow carved path with **eleven shallow stone steps**. <br>• No lantern brackets were found. <br>• No dark mineral lines appeared after rain. <br>Because of the presence of actual steps and the absence of lantern clues, Zone South was reinterpreted as a separate “Hollow Steps” route and not the Hollow Stair. (See *Zone South Changes the Picture*.) |

Thus, the Hollow Stair remained unverified because Zone South lacked the key lantern and mineral‑line indicators, while Zone North’s lantern bracket, mineral lines, and metal box provided the strongest evidence for the Hollow Stair."
case-007,compound,multiple_independent_retrieval_needs,compound,False,2,5,b8248a7ae2bb4eb6c4d71b3bc94b9a7f7fa2a5b0d40490f4bcc3fef0dc9826ba,2425,groq,openai/gpt-oss-120b,0.0,2074,486,2560,1474.9,0.0,0,1,ok,735,final_answer_ms,9281.9,"What was found inside the T41 box, and what evidence originally connected T41 to Elian Voss before discovery?",Compass ring; waterproof cloth with six white dots in two rows of three; V-31 slate token. Earlier T41 appeared in BF-233; BF-119 T17 and BF-121 T22 showed Voss T-codes represented travel caches.,"**1. What was found inside the T41 box?**  
The field notes state that the T41 box contained three distinct items: a brass compass ring, a rolled strip of waterproof cloth, and a slate token engraved with “V‑31.” The cloth was marked with six white dots arranged in two rows of three, and no written map was recovered (“What We Learned From T41”).

**2. What evidence originally connected T41 to Elian Voss before discovery?**  
The available excerpts do not contain any information linking T41 to Elian Voss. The posts that mention Elian Voss refer only to a separate item (bF‑233) written by him, and none describe a prior connection between T41 and Voss. Therefore, this aspect is not covered by the provided evidence.","**1. Contents of the T41 box**  
The T41 box was found to contain a brass compass ring, a rolled strip of waterproof cloth (the cloth had six white dots arranged in two rows of three), and a slate token engraved with “V‑31.” No written map was recovered.  
*Source: “What We Learned From T41.”*

**2. Evidence that originally linked T41 to Elian Voss**  
The connection came from the cartographic record BF‑233, which was noted to have been written by cartographer Elian Voss. This record was associated with the T41 investigation, providing the initial link between the box and Voss.  
*Source: “Restoring the Bluefin Archive.”*"
case-008,compound,multiple_independent_retrieval_needs,compound,False,2,5,3872b82816950130cc4107c12e7c4a01fec720d99e60a91bf183029606a9ac1b,1980,groq,openai/gpt-oss-120b,0.0,1898,467,2365,1552.3,50.5,0,1,ok,538,final_answer_ms,7667.4,"Compare QL-2C and QL-2D for Lantern Loop use. Why was QL-2C unsuitable, and why did QL-2D still fail passenger approval?","QL-2C 40-minute rest conflicts with carts returning after 16 minutes. QL-2D 12-minute stabilization solves that, but 11 cm taller enclosure blocks brake-release lever.","**1. Why QL‑2C was unsuitable for Lantern Loop use**  
The “Forty‑Minute Rule” built into QL‑2C conflicted with the Lantern Loop’s rapid‑charging cycle. A cart on the Loop can return to charge after only sixteen minutes, far shorter than the forty‑minute interval the pack required. In addition, swapping in the larger Quill pack would add roughly 38 kilograms of weight, making the carts impractical for continued operation. Because of these mismatches, QL‑2C was rejected for Lantern Loop service and kept only for workshop testing (as noted in *Quill Cells in the Lantern Cart*).

**2. Why QL‑2D still failed passenger approval for Lantern Loop use**  
Although QL‑2D used about 14 percent less energy than the LumenPack 8 reference, its physical design introduced a safety problem: the enclosure was eleven centimeters taller than the reference pack, which blocked access to the manual brake‑release lever. This obstruction prevented passengers (or operators) from quickly releasing the brake in an emergency, so the pack was not approved for passenger service (as recorded in *Lantern Loop Tests QL‑2D*).","**1. Why was QL‑2C unsuitable for Lantern Loop use?**  
According to *Quill Cells in the Lantern Cart*, QL‑2C was rejected for Lantern Loop use because its “Forty‑Minute Rule” conflicted with the rapid‑charging schedule required by the carts. A cart could return to charge after only sixteen minutes, but QL‑2C’s rule demanded a forty‑minute cycle, making it incompatible with the operational timetable. Additionally, the larger Quill pack would add about 38 kg, further complicating the cart’s design. As a result, QL‑2C was kept only for workshop testing and the carts continued using LumenPack 8 batteries.

**2. Why did QL‑2D still fail passenger approval for Lantern Loop use?**  
In *Lantern Loop Tests QL‑2D*, Mica’s test of a QL‑2D pack revealed that the Quill enclosure was eleven centimeters taller than the reference design. This increased height blocked access to a manual brake‑release lever, a safety feature required for passenger service. Because the lever could no longer be reached, QL‑2D was not approved for passenger use, even though it used about 14 % less energy than the LumenPack 8 reference."
case-009,compound,multiple_independent_retrieval_needs,compound,False,2,5,f6de49184f2ef3e9947d88f6727c4a657b8044bc3789252e10bb7ec4191d6e06,1945,groq,openai/gpt-oss-120b,0.0,1953,381,2334,1284.7,0.0,0,1,ok,247,final_answer_ms,17236.4,What charging/stabilization rule applies to QL-2C and QL-2D respectively?,QL-2C 40 minutes; QL-2D 12 minutes.,"**1. QL‑2C** – The charging / stabilization procedure for QL‑2C is the **Forty‑Minute Rule**; the cell must observe the forty‑minute stabilization period before fast charging (as noted in *Quill Cell Revision QL‑2C*).

**2. QL‑2D** – QL‑2D no longer follows the Forty‑Minute Rule. Instead, it requires a **twelve‑minute stabilization** period before fast charging (as described in *QL‑2D Drops the Forty‑Minute Rule*).","1. **QL‑2C** – The charging rule that applies is the **Forty‑Minute Rule**.  The “Quill Cell Revision QL‑2C” post states that “the Forty‑Minute Rule still applied” to QL‑2C.  

2. **QL‑2D** – The charging rule that applies is a **twelve‑minute stabilization period before fast charging**.  The “QL‑2D Drops the Forty‑Minute Rule” post notes that “the Forty‑Minute Rule no longer applied to QL‑2D” and that “QL‑2D required twelve minutes of stabilization before fast charging.”"
case-018,compound,multiple_independent_retrieval_needs,compound,False,2,5,4a10e92c5ec426418315a90871e211cb8ca10e0918d6664f1f3c45333beae880,2432,groq,openai/gpt-oss-120b,0.0,2129,359,2488,1243.2,40.9,0,1,ok,233,final_answer_ms,3232.3,"What is the highest Meral Index recorded in the network, and what temperature rule applies to cloud honey in Ember Tea?",11.4 at WG-03 North Fen on 16 January; honey below 70°C.,"**1. Highest Meral Index in the network**  
The recorded peak value is **11.4**, measured by station WG‑03 at North Fen on 16 January (as noted in *Mapping the Whisperglass Stations*). A later clarification confirms that this 11.4 reading remains the official maximum (*Why Meral 12 Is Rare*).

**2. Temperature rule for cloud honey in Ember Tea**  
Cloud honey may be added only **when the water temperature is below 70 degrees**. Both *Ember Tea Version Three* and *The Ember Tea Mistake* state that cloud honey must be added below 70 degrees, otherwise the drink develops an off‑taste.","1. The highest Meral Index recorded in the network is **11.4**, observed by WG‑03 at North Fen on 16 January (see *Mapping the Whisperglass Stations*).  
2. In Ember Tea, cloud honey must be added **only below 70 degrees** (see *Ember Tea Version Three* and *The Ember Tea Mistake*)."
case-020,compound,multiple_independent_retrieval_needs,compound,False,2,5,b5eae31c08aaa253180ff977821deccb8d18997dc884adf4b53067f0ec580bd0,2098,groq,openai/gpt-oss-120b,0.0,1810,584,2394,1721.5,0.0,0,1,ok,446,final_answer_ms,30524.3,"What evidence made Zone North probable, and what was later found inside T41?","lantern brackets + west-face mineral lines + T41 box; later contents compass ring, dotted waterproof cloth, V-31 token.","**1. Evidence that made Zone North probable**  
The probability of Zone North was raised by several field observations. After heavy rain, investigators saw additional rusted lantern brackets and, beside the west rock face, a third bracket marked by mineral lines. Behind that bracket they found a stone cavity that held a corroded metal box stamped “T41.” The presence of the lantern brackets, the mineral‑lined rock face, and the newly exposed mineral bands (three dark vertical bands) after rain were all cited as the concrete clues that shifted Zone North to a “probable” status — as recorded in *The Hollow Stair Status Finally Changes* and reinforced in *HS‑Bluebird Finds the Western Marks*【The Hollow Stair Status Finally Changes】, 【HS‑Bluebird Finds the Western Marks】.  

**2. What was later found inside T41**  
When the T41 box was later opened, it contained three items: a brass compass ring, a rolled strip of waterproof cloth (the cloth bore six white dots arranged in two rows of three), and a slate token engraved with the identifier “V‑31.” No written map was present — as detailed in *What We Learned From T41*【What We Learned From T41】.","**1. Evidence that made Zone North probable**

The posts describe several observations that pointed to Zone North as the likely location of the Hollow Stair.  In *HS‑Bluebird Finds the Western Marks* a reviewer noted that Zone North was “uncommon elsewhere in the corpus” and that the evidence was encouraging but not yet conclusive.  The field log recorded that after heavy rain a third rusted lantern bracket became visible beside the west rock face, and that the bracket was accompanied by mineral lines and a stone cavity that contained a corroded metal box stamped T41.  In *The Hollow Stair Status Finally Changes* the author reports that Zone North “became the probable Hollow Stair with high confidence,” citing the lantern brackets, mineral bands, and the presence of the T41 box as the key indicators.  These observations together made Zone North the probable site.

**2. What was later found inside T41**

In *What We Learned From T41* the T41 box was opened and yielded several items: a brass compass ring, a rolled strip of waterproof cloth, and a slate token engraved “V‑31.”  The cloth bore six white dots arranged in two rows of three.  No written map was found.  These were the contents that were later discovered inside the T41 box."
case-022,compound,multiple_independent_retrieval_needs,compound,False,2,5,c372f0f59466f5eaa450a5278dacbf5124daa17f4f31bbd33e9a08b451e5a357,2415,groq,openai/gpt-oss-120b,0.0,2070,409,2479,1117.4,0.0,0,1,ok,549,final_answer_ms,4337.6,"What was the highest Meral Index, and why did Hollow Stair remain unverified after Zone South?","11.4 WG-03 North Fen 16 Jan; competing Zone North/Zone South clues, neither conclusive.","**1. Highest Meral Index**  
The recorded peak Meral Index was **11.4**, measured at Whisperglass station WG‑03 on 16 January. No station had ever logged a value of 12, and the post “Why Meral 12 Is Rare” notes that the official maximum “remained WG‑03’s 11.4” (Why Meral 12 Is Rare).

**2. Why Hollow Stair stayed unverified after Zone South**  
The “Zone South Changes the Picture” entry explains that, although Zone South featured a narrow carved path with eleven shallow stone steps, **neither Zone South nor the alternative site (Zone North) had been confirmed**. The post explicitly states that “the official Hollow Stair status remained unverified.” The lack of confirming evidence—such as lantern brackets or dark mineral lines—meant the team could not yet verify the site as the true Hollow Stair, so the status stayed unverified after the Zone South investigation. (Zone South Changes the Picture)","**1. Highest Meral Index**  
The highest Meral Index that was officially recorded was **11.4**, observed at WG‑03 on 16 January. The post *Why Meral 12 Is Rare* notes that no Whisperglass station had ever reached a 12, and that the official maximum remained WG‑03’s 11.4. (Other posts mention lower values, such as 9.7 at wG‑04, but none exceed 11.4.)

**2. Why Hollow Stair stayed unverified after Zone South**  
In *Zone South Changes the Picture* the team found a narrow carved path with eleven shallow stone steps in Zone South, but **no lantern brackets** and **no dark mineral lines** appeared after rain. Those features are required to confirm a Hollow Stair. Because Zone South lacked them and was instead interpreted as a separate “Hollow Steps” route, the Hollow Stair status remained **unverified**. Later, *The Hollow Stair Status Finally Changes* confirms that Zone North became the probable Hollow Stair, while Zone South was re‑interpreted as the separate Hollow Steps route, leaving the Hollow Stair designation unverified for Zone South."
